# 3D-Front 布局家具清单（每行一个家具，并标注与 furniture_library.json 的匹配结果）
# 列含义：
#   列1 序号(index)                 - 家具在布局文件中的出现顺序编号（从 0001 起）
#   列2 jid                         - 家具实例的唯一标识符，用于和 furniture_library.json 的 id 比对
#   列3 category                    - 布局文件中该家具的类别名称，缺失记为 (missing)
#   列4 sourceCategoryId            - 家具的来源分类 id，缺失记为 (missing)
#   列5 jid匹配library              - 该 jid 是否出现在 furniture_library.json 的 id 中：是 / 否 / (缺失)
#   列6 sourceCategoryId匹配library - 该 sourceCategoryId 是否出现在 id 中：是 / 否 / (缺失)
# 数据行以制表符(TAB)分隔
序号(index)	jid	category	sourceCategoryId	jid匹配library	sourceCategoryId匹配library
0025	a928d333-5633-44b9-8388-cb617e1c0a4c	(missing)	(missing)	否	(缺失)
0026	144a81f0-43a2-4903-ae3c-6ffa6644db9f	(missing)	(missing)	否	(缺失)
0027	9a0dd242-eb1b-4b7b-a1d0-252b86fb1d0a	(missing)	(missing)	否	(缺失)
0028	8e533279-ed42-481d-a1ac-cee192734b67	(missing)	(missing)	否	(缺失)
0029	61752b35-0691-4df8-a470-ef5a41ab0e4e	(missing)	(missing)	否	(缺失)
0030	ba8c4433-06ea-4021-90bf-2fa6216a639f	(missing)	(missing)	否	(缺失)
0031	67001595-922e-4bce-b7fb-c53f53af1acd	(missing)	(missing)	否	(缺失)
0032	d92f7482-1c0f-4bb8-849b-7b3ce7ea8f6f	(missing)	(missing)	否	(缺失)
0033	20bd9e2e-68ed-472b-a239-fbd40f3886b6	(missing)	(missing)	否	(缺失)
0034	0979965d-f975-4fd0-b2d8-256035c62600	(missing)	(missing)	否	(缺失)
0035	c9f19721-cffa-4de7-aba6-0d970e4a853d	(missing)	(missing)	否	(缺失)
0036	760552ac-c6ae-4bcb-bf54-862f3f6947d0	(missing)	(missing)	否	(缺失)
0037	e11e8459-ae24-44ec-8b84-ec7408647e05	(missing)	(missing)	否	(缺失)
0038	25ede801-37d6-4651-8097-2cab856b7921	(missing)	(missing)	否	(缺失)
0039	3e271bf8-8cb4-4086-9519-78095cf7ee49	(missing)	(missing)	否	(缺失)
0040	dbb66b4b-7e13-49c0-bcc6-06b6a0e55016	(missing)	(missing)	否	(缺失)
0041	ee0ead3e-0747-42ff-b93b-b967d54001ae	(missing)	(missing)	是	(缺失)
0042	960882ef-3a80-438b-9d65-f497c22e6c79	(missing)	(missing)	否	(缺失)
0043	8c984d8b-e9a7-4e8a-ae57-7d012751f797	(missing)	(missing)	否	(缺失)
0044	3ab9658e-dd7c-4b7f-a330-d19696798dd6	(missing)	(missing)	否	(缺失)
0045	923eb181-4773-4a27-8db1-de7e78d221df	(missing)	(missing)	否	(缺失)
0046	2c8e8487-63f8-4b5a-a88e-b526db421f27	(missing)	(missing)	否	(缺失)
0047	028efd28-be49-4d92-8d68-5b938272b5ff	(missing)	(missing)	否	(缺失)
0048	ad5273bf-6106-4ce1-a105-cc62ccf31ab7	(missing)	(missing)	否	(缺失)
0049	6016e4da-6365-4b64-a6c1-468be224aa11	Two-seat Sofa	(missing)	是	(缺失)
0050	c49a5bcf-1419-4b1d-90e8-71335389e550	Tea Table	(missing)	是	(缺失)
0051	0ecff51f-5f8e-4ac7-b28a-d98d19446ff2	Nightstand	(missing)	是	(缺失)
0052	75fd3650-4824-4ab2-81f8-1cc9423c2b56	Lounge Chair / Book-chair / Computer Chair	(missing)	是	(缺失)
0053	3bf9fca8-790f-452a-8e62-4d6c928e099a	Others	(missing)	否	(缺失)
0054	ab7e9c56-b5b2-4dd8-ae70-fb293448d95f	Lighting	(missing)	是	(缺失)
0055	af22d4a3-6e34-45d2-afef-c3e9f6838043	Pendant Lamp	(missing)	是	(缺失)
0056	362671bf-ebc0-49cd-a3d6-a91b5d62ecb3	Dining Table	(missing)	是	(缺失)
0057	6c265549-4946-41d2-96b0-0e0bd3d2089f	Dining Chair	(missing)	是	(缺失)
0058	6c265549-4946-41d2-96b0-0e0bd3d2089f	Dining Chair	(missing)	是	(缺失)
0059	6c265549-4946-41d2-96b0-0e0bd3d2089f	Dining Chair	(missing)	是	(缺失)
0060	6c265549-4946-41d2-96b0-0e0bd3d2089f	Dining Chair	(missing)	是	(缺失)
0061	a3017175-01da-4bbb-a3f4-aa896e3fa604	(missing)	(missing)	否	(缺失)
0062	db84c83f-6de8-4a36-8d88-af157842becc	(missing)	(missing)	否	(缺失)
0063	5e7e78dc-d24c-439f-ac53-2cd6c6e64d8f	(missing)	(missing)	否	(缺失)
